2756,-11380,-11716,12264,23094,11580,680,10500,-4328,-23269,28783,8795,5068,-16868,-3864,-7759,1086,-2499
620,-7792,-7412,19630,18344,975,-3004,6804,-2048,-18340,18005,12947,5680,-17876,-2744,-5824,-1596,-1407
-1956,-6264,-4624,28067,14291,-7217,-5436,3168,796,-26001,7399,10849,4968,-18192,-4548,-5243,-2377,-2495
-3168,-1148,-2976,32767,11440,-9360,-6448,-1556,2988,-21607,-5428,6821,5360,-16620,-4512,-446,-37,-3021
-5084,0,-7928,32767,1499,-3922,-4664,-1704,852,-21869,-13689,2141,6036,-16508,-4188,1629,-1498,-1952
156,12668,-11996,27812,-16752,-5500,-5760,-3752,-7192,-21030,-24906,-2337,6212,-18528,-3236,1773,-4571,-993
376,10380,-5496,24135,-12518,-886,-1492,-6540,-10236,-16096,-24826,-1517,4136,-17820,-3396,-1501,-2098,-826
3472,15296,-8072,20969,-17597,-723,2304,-8476,-17220,-9851,-29004,-8436,4748,-17392,-2628,2473,-1567,-814
7168,17716,-9316,15370,-23967,-3671,5948,-7496,-23020,-3713,-28728,-17385,4684,-17540,-1660,5359,-4262,-743
10848,20196,-11012,11493,-26522,-6653,7460,-4724,-26860,5511,-28001,-25826,5472,-16572,-752,5532,-2859,-937
13656,19908,-12492,4191,-27123,-7460,8012,-796,-31056,13657,-22792,-32558,4100,-18484,5968,4992,721,-1720
14116,24144,-16772,-1656,-28660,-2856,9276,6252,-32768,16094,-13066,-32768,4316,-16016,-160,3611,3605,1065
18632,20792,-19348,-11194,-28661,6038,10912,18384,-32448,12390,3934,-32768,4664,-16948,400,3481,3600,1950
24300,14520,-21020,-17049,-23056,20123,10096,21932,-31000,7163,21435,-28337,3748,-16588,1748,3863,283,777
26604,20560,-21488,-22133,1697,16888,7672,27256,-30976,4636,29969,-12375,3472,-14940,1444,548,-636,2564
620,-7792,-7412,19630,18344,975,-3004,6804,-2048,-18340,18005,12947,5680,-17876,-2744,-5824,-1596,-1407
-1956,-6264,-4624,28067,14291,-7217,-5436,3168,796,-26001,7399,10849,4968,-18192,-4548,-5243,-2377,-2495
-3168,-1148,-2976,32767,11440,-9360,-6448,-1556,2988,-21607,-5428,6821,5360,-16620,-4512,-446,-37,-3021
-5084,0,-7928,32767,1499,-3922,-4664,-1704,852,-21869,-13689,2141,6036,-16508,-4188,1629,-1498,-1952
156,12668,-11996,27812,-16752,-5500,-5760,-3752,-7192,-21030,-24906,-2337,6212,-18528,-3236,1773,-4571,-993
2440,18464,-9824,11394,-20779,-2808,-1680,-3644,-18768,-13878,-32768,-11233,6020,-17916,-3892,6092,-2895,180
