-8676,3216,-13688,-2677,-1530,-2581,-14928,-276,-9340,-4871,4044,-4171,5980,-15424,4960,1186,-960,949
-12368,2428,-12200,3623,-2675,-1691,-18156,-560,-10728,-503,941,-1221,6392,-18276,6528,-582,470,1434
-14472,5028,-17784,-494,19,1145,-20472,-1692,-15588,3589,4642,2097,5932,-20860,5320,-3186,1591,1036
-17216,6400,-19952,-226,3418,960,-21824,-860,-18904,495,2876,-1943,7264,-25984,4564,-6794,-230,278
-18844,5348,-22948,-1974,3997,144,-26904,1596,-18880,-10590,3833,-6660,7440,-30944,4016,-6669,714,-220
-19224,5072,-25776,-631,3193,-1831,-27312,-1620,-18640,-11764,-2299,-3788,5680,-32768,3336,-6212,-2291,1831
872,-2480,1344,-8530,-315,-4798,-644,1104,2716,2396,3796,-1209,1548,-640,1612,3630,2040,3426
-1392,-2844,-2368,1598,-1819,-2111,-1288,1456,-84,965,-2912,1434,1592,260,672,9280,2907,2874
-3272,1252,-536,2936,-2519,-2327,-2160,-144,316,-2696,-2372,-780,1852,1408,1220,10921,-448,3171
-4324,432,-6136,-1791,-3022,-2233,-8428,84,-4088,602,2815,2029,4088,-6404,-760,5100,-4811,2150
-19820,1016,-21804,-3902,5450,-5000,-29456,2388,-18232,-3009,2510,7682,5540,-32768,7720,-32768,-20604,-11301
-14116,4308,-23008,-2903,-125,-2046,-24944,1892,-16956,-1149,-3327,945,3240,-30156,6324,-2878,1075,3498
-13092,1872,-17828,1700,2494,1173,-19292,4228,-14352,-4060,1100,-7640,-10708,-25680,32767,15687,-6633,2755
-10068,2136,-14784,572,327,818,-15468,608,-11040,-5030,4914,-5331,6172,-15008,908,-3445,-905,-958
-8908,916,-13116,1099,-2354,1838,-12424,1660,-9676,3811,-897,1540,3288,-17240,4332,-3401,2572,-355
-12368,2428,-12200,3623,-2675,-1691,-18156,-560,-10728,-503,941,-1221,6392,-18276,6528,-582,470,1434
-14472,5028,-17784,-494,19,1145,-20472,-1692,-15588,3589,4642,2097,5932,-20860,5320,-3186,1591,1036
-17216,6400,-19952,-226,3418,960,-21824,-860,-18904,495,2876,-1943,7264,-25984,4564,-6794,-230,278
-18844,5348,-22948,-1974,3997,144,-26904,1596,-18880,-10590,3833,-6660,7440,-30944,4016,-6669,714,-220
-19224,5072,-25776,-631,3193,-1831,-27312,-1620,-18640,-11764,-2299,-3788,5680,-32768,3336,-6212,-2291,1831
-15184,4220,-23760,4966,-1780,157,-23048,-1192,-17276,-12007,-2825,-2573,6444,-28588,3948,-2343,-280,1726
-3352,2332,-6624,-4501,-3052,-4488,-6908,-3548,-3916,9190,-12706,-376,1300,-9800,3968,4480,1947,3590
796,-1580,436,-9020,-785,-2192,40,1136,3296,-3351,-577,-6057,2244,-2204,16,5519,956,3650
312,-2036,552,-6850,-273,-5875,-1356,-52,1048,1974,2752,665,2736,368,1136,6373,-228,3965
-1132,-828,-1040,-878,-486,-2640,-2640,276,104,1934,-964,2245,2796,2356,412,8862,283,3616
-1180,168,-2620,2160,324,-291,-3400,600,-2024,2534,-1719,1048,2336,-696,88,7301,2731,1133
-7708,2540,-8732,2716,1703,201,-13832,988,-6632,3225,2713,1132,4568,-16020,-2232,-6230,-2228,-2942
-22508,7524,-26076,2268,5915,-980,-26480,484,-18812,-4930,1911,3104,10776,-32768,29296,-22172,-65,-11081
-16400,3528,-23648,-8923,800,-3936,-25372,-488,-15344,-2607,-5580,2172,3992,-28872,2072,10233,8683,2392
-13192,4912,-19056,6514,323,6229,-20548,764,-13828,-7311,-1631,-1168,5180,-18472,1796,-534,-6000,-894
-8280,3420,-13196,1745,-1117,2762,-14232,-492,-10476,-4322,429,-2817,4628,-16568,460,-1122,387,1073
-8488,2928,-12784,65,-1777,1244,-13384,1572,-10596,3202,-3109,-624,2184,-15744,2448,-2979,-1646,-252
-8448,3160,-12348,411,-1955,1164,-14100,408,-8660,3439,-2544,1073,4252,-17344,1060,-964,-765,484
-9416,2912,-12380,-1984,-401,-1575,-14612,1072,-8844,1143,-508,262,4164,-16592,560,1333,-1170,-447
-9804,3512,-12848,2107,-816,986,-15360,316,-8296,-1798,-393,-907,4400,-17232,1060,-772,-1286,-877
-9580,3588,-12684,882,-2270,1436,-15532,540,-8596,879,-623,746,4728,-17104,740,-741,1303,-694
-9068,3200,-12176,3026,-720,1150,-15280,480,-8432,2199,-678,1729,3896,-17280,1584,629,455,-690
-9076,3328,-11880,3104,-1860,981,-14860,732,-8636,790,-1513,1842,4288,-17064,1568,1453,765,-560
-9896,3368,-12704,4825,-1735,-118,-15276,568,-8856,-1691,-1419,1319,3984,-16988,1636,1902,926,-865
-10036,3244,-12500,3305,-854,829,-15476,692,-8148,-2813,-2183,2208,3960,-17024,2192,2742,308,-594
-9368,2420,-12016,-291,230,-1499,-14980,1188,-8536,-1293,-2512,1654,4692,-16096,2404,3193,-261,-243
-9052,1812,-11904,280,-1217,-301,-14692,1120,-8192,-40,-3059,129,3800,-15260,3160,3085,-105,-259
-8824,2060,-11312,728,-1191,749,-15124,724,-8092,-781,-2681,-159,4188,-14396,3120,1969,665,466
-8320,1812,-10684,-841,-28,-790,-13512,864,-7152,229,-1069,-890,4100,-13344,2988,1376,-27,539
-8068,1340,-9908,-871,293,259,-12496,2112,-8120,4703,3338,734,4500,-12612,2964,181,979,554
-8172,1500,-11008,-2277,2599,-1238,-13256,908,-8024,5971,1470,1238,5812,-14664,3596,-2030,794,14
-10304,1528,-13328,3,448,189,-16464,-108,-8076,-1826,2582,-672,5284,-16484,3420,-2332,2509,25
-10232,2816,-13532,1403,-445,756,-17288,-1400,-7984,-64,2839,-239,4876,-17920,3596,-2637,2787,346
-10764,2288,-14776,1839,972,884,-17520,4,-8740,2548,3112,423,4800,-19808,4376,-2052,2533,220
-12788,1556,-16640,1576,1911,921,-18848,3040,-10212,-4998,6211,817,5124,-19652,4148,-1355,2096,-143
-8908,916,-13116,1099,-2354,1838,-12424,1660,-9676,3811,-897,1540,3288,-17240,4332,-3401,2572,-355
-8676,1520,-12524,2709,-1619,2548,-13924,1324,-8684,3139,-413,1283,3036,-16892,1056,-540,-383,-459
-9732,1592,-13108,239,885,-260,-15664,1072,-9632,836,-1544,898,3812,-17448,1552,1539,-928,-250
-10040,1468,-12384,578,419,438,-15056,1432,-8868,-1407,-1414,-589,4068,-16188,680,-101,-929,-182
-10000,1352,-12136,-369,595,-254,-14548,1392,-8004,-1380,-117,-1229,4552,-17780,4216,287,-112,-475
-10420,1260,-12668,1660,53,86,-15460,1252,-8772,951,-802,743,3880,-17240,2112,1901,240,-253
-9672,1416,-12344,1804,-1152,-129,-15436,1220,-9184,1499,-2797,1429,4240,-17316,1984,1890,556,-251
-9812,1576,-12352,2044,-488,-843,-15132,1748,-9040,-474,-3366,468,3932,-17076,2604,2325,1413,-155
-9460,1556,-12600,2178,-1057,-997,-14868,1376,-8840,-948,-2854,-97,3696,-16664,2740,3504,736,252
-9184,1184,-11784,744,-1463,-1582,-14596,1216,-8744,-436,-3422,488,4036,-15416,3424,3737,175,378
-8760,1004,-11104,-59,-1409,-1267,-13476,1320,-8116,1073,-2882,961,3384,-13824,3572,4153,904,620
-7884,256,-9736,104,-740,-1244,-12088,856,-7716,1186,-2873,239,3008,-12216,3964,3395,201,673
-7772,736,-9680,132,-164,-923,-10820,1088,-6892,493,-1008,36,4164,-10516,2932,1332,-570,472
-7204,1144,-10124,-2901,432,-2416,-12140,240,-7140,4339,2972,1922,4956,-13080,4168,-610,1116,-830
-10620,1056,-14072,-1407,1083,-947,-16684,548,-9952,5173,1356,3237,4752,-16540,4924,-4103,2440,-1440
-12200,1820,-15732,2106,743,2193,-18496,-280,-10300,2851,2087,1138,3936,-20020,5796,-4076,1878,-406
