-7604,7040,-12420,230,264,634,-7752,-4220,-15344,671,-360,-1669,4712,-16852,2192,-825,383,-732
-7676,6840,-12336,883,386,946,-6876,-3972,-15080,724,-222,-632,4672,-16712,2176,-462,-231,-138
-7928,6892,-12032,724,469,927,-6880,-4388,-14788,643,-141,-80,4780,-16672,1908,-370,-376,-164
-8148,7080,-12012,228,714,370,-7112,-4756,-15140,-215,33,-926,4764,-16916,2152,-637,-654,-223
-8312,6968,-12188,-461,727,-359,-6952,-4580,-15372,46,-359,-657,5052,-17028,1900,-454,-668,-186
-7936,6684,-12256,-521,400,-488,-6780,-5224,-15228,-687,-127,-972,5112,-17056,1876,-335,-358,-71
-7844,7260,-12024,16,-42,47,-6928,-4760,-15364,521,8,221,4388,-16812,2092,-73,129,94
-5656,8484,-13244,-1182,1315,417,-6880,-4992,-15648,754,136,-328,4436,-17256,2144,413,-128,236
-7132,15940,-15244,-14031,7407,-5515,-5800,-6340,-21276,5405,3043,699,3792,-17068,2204,1313,241,406
-7472,16616,-16776,-21824,8104,726,-2176,-11064,-23296,19555,17507,9626,3784,-16556,2200,673,-894,-156
-7124,20924,-14836,-32768,10023,1780,464,-9764,-26224,31868,27448,11759,5140,-16572,2764,274,-1798,160
-7184,19500,-10388,-32768,10843,960,112,-11004,-22144,24823,31899,-2256,5180,-16444,2544,-226,320,-299
-7772,13844,-4432,-32768,8699,8835,248,-16524,-15776,15935,32767,-15869,3768,-16496,2432,-1474,629,-98
-6912,12584,-740,-31360,1874,24071,-888,-13944,-8388,8763,32767,-24603,5080,-16516,1656,-2917,-258,37
-8356,5500,3792,-24760,-3448,26458,-2808,-12624,-2912,1591,28585,-29364,4736,-16896,1616,-1156,401,-254
-7676,6840,-12336,883,386,946,-6876,-3972,-15080,724,-222,-632,4672,-16712,2176,-462,-231,-138
-7928,6892,-12032,724,469,927,-6880,-4388,-14788,643,-141,-80,4780,-16672,1908,-370,-376,-164
-8148,7080,-12012,228,714,370,-7112,-4756,-15140,-215,33,-926,4764,-16916,2152,-637,-654,-223
-8312,6968,-12188,-461,727,-359,-6952,-4580,-15372,46,-359,-657,5052,-17028,1900,-454,-668,-186
-7936,6684,-12256,-521,400,-488,-6780,-5224,-15228,-687,-127,-972,5112,-17056,1876,-335,-358,-71
-7652,7168,-11860,-174,85,-661,-6816,-4796,-15244,-111,-41,-451,5032,-16964,1800,-328,-160,-18
-7664,7716,-12020,-547,70,-995,-7072,-4840,-15132,298,-70,-91,5004,-16896,1760,-317,10,-21
-7688,7444,-11816,-390,-80,-509,-7064,-4640,-15052,99,-5,-179,4764,-16940,1744,-197,116,126
-7916,7440,-11800,44,-47,135,-6944,-4712,-14996,50,-82,-90,4848,-16952,1812,147,-76,151
-8016,7200,-11968,75,-16,300,-6800,-4512,-15040,-187,-93,-178,4760,-16840,1868,153,16,183
-8060,7096,-11880,-3,51,195,-6752,-4584,-15064,-270,-74,-316,4692,-16916,1752,-62,84,157
-8028,7100,-11896,-95,66,-86,-6832,-4584,-15104,-256,-75,-287,4736,-16800,1748,26,27,191
-8096,7176,-12124,-1,9,-257,-6860,-4756,-15116,-199,-73,-143,4612,-17000,1544,-86,108,101
-7812,7440,-12140,-206,31,-274,-6688,-4824,-15148,-223,-166,-134,4692,-16820,1864,-128,101,159
-7800,7388,-12084,-182,-37,-251,-6700,-4596,-15148,25,-112,-107,4612,-16920,1984,-29,-78,101
-8064,7356,-11924,-112,-89,-30,-6816,-4344,-15084,-132,-73,-197,4712,-16776,1892,-50,42,85
-7948,7180,-11868,18,-126,73,-6952,-4560,-15052,-93,-10,-176,4720,-16856,2052,-68,38,98
-8000,7168,-11940,-14,-12,7,-6992,-4700,-15056,-123,25,-148,4684,-16900,1808,-34,85,68
-8104,7260,-12040,21,11,-30,-6704,-4716,-14952,46,8,-13,4680,-16836,1860,-68,60,72
-7952,7264,-11984,110,79,146,-6720,-4756,-15060,90,20,46,4652,-16988,1716,-102,120,76
-7964,7220,-11888,35,73,45,-6700,-4464,-15224,65,26,13,4688,-16936,1964,-114,116,20
-8100,7244,-12000,93,50,224,-6928,-4548,-15240,-50,14,12,4672,-16812,1840,-108,167,85
-7948,7192,-11968,134,-37,216,-6948,-4676,-15056,27,5,42,4628,-16952,1692,-83,123,41
-8040,7156,-12084,57,-90,147,-6744,-4584,-15108,-86,-2,-9,4708,-16996,1952,-43,159,79
-8004,7056,-12076,115,-91,110,-6792,-4576,-15088,-12,-24,53,4720,-16988,2064,-7,151,88
-7948,7124,-12132,117,-111,59,-6704,-4380,-14904,25,17,35,4692,-16964,1928,49,73,144
-7992,7108,-11884,215,-150,82,-7164,-4632,-15160,104,32,133,4536,-16980,1936,124,353,4
-8132,7224,-12016,52,-43,-112,-6796,-4756,-15196,11,-50,69,4708,-16888,1884,47,147,139
-7980,7240,-11876,-11,-73,-55,-6912,-4532,-15176,-82,-54,15,4540,-16960,1872,117,44,149
-8028,7328,-11948,-33,-75,-55,-6768,-4332,-15176,-157,-81,-91,4616,-16872,1908,100,-8,157
