-9980,2960,-15040,-2087,-890,-21,-16408,1088,-12808,-258,-605,-1182,5024,-17460,1720,967,1330,-194
-8108,2996,-12980,-3334,-353,-1518,-14196,980,-11900,217,-649,-1187,4736,-16336,2536,2252,-937,1105
-8328,3064,-11896,-4345,1126,-2657,-12480,2708,-10872,688,2438,-1941,6300,-16832,2800,1705,-2216,327
-9488,2748,-12860,-6532,4898,-7010,-13800,2180,-10924,886,4279,-46,6420,-16040,2876,2484,-180,242
-8524,2548,-13668,-77,4214,-3037,-13500,1636,-10948,5240,2820,3071,5976,-16460,1920,-303,2427,-13
-8016,3236,-13976,4032,-951,531,-13340,2948,-11056,2666,1088,2567,5240,-16824,2696,-155,4571,78
-4532,16036,2244,-22992,22313,20211,1684,-9876,-9700,22196,15403,-24111,8376,-17408,-2076,1082,-12530,2776
-7816,8988,8444,-13886,11206,31249,3360,-9232,-5936,18740,12467,-20454,5128,-15564,120,2573,-6833,1450
-10292,7804,13832,-11080,3432,26701,2716,-14080,-1324,31558,6722,-14203,3676,-16700,736,-428,-7242,2402
-6980,6296,13516,-8940,-9823,17617,2872,-12196,-132,23799,-1408,-10739,3868,-17328,-880,-239,-9120,1282
140,7780,9904,-10300,-22678,6870,1636,-8984,-3408,25899,-16043,-7041,5276,-18196,348,1368,-11372,1337
7896,3064,4160,-2027,-27549,3196,2640,2420,-11108,21822,-29967,-9984,6448,-17036,-640,2774,-6615,847
32767,-29760,32767,32767,32767,-22035,32767,-19328,-32768,32767,18870,32767,4856,-17292,124,1932,-3193,879
10692,13108,11232,6669,1398,-663,9096,-20892,-4976,-8528,-7640,761,3256,-15032,1880,3280,-2036,-76
9804,5948,6420,7953,-8557,2930,11772,1728,-7784,-3462,-6485,-936,4360,-17532,-240,-283,-4225,572
-8108,2996,-12980,-3334,-353,-1518,-14196,980,-11900,217,-649,-1187,4736,-16336,2536,2252,-937,1105
-8328,3064,-11896,-4345,1126,-2657,-12480,2708,-10872,688,2438,-1941,6300,-16832,2800,1705,-2216,327
-9488,2748,-12860,-6532,4898,-7010,-13800,2180,-10924,886,4279,-46,6420,-16040,2876,2484,-180,242
-8524,2548,-13668,-77,4214,-3037,-13500,1636,-10948,5240,2820,3071,5976,-16460,1920,-303,2427,-13
-8016,3236,-13976,4032,-951,531,-13340,2948,-11056,2666,1088,2567,5240,-16824,2696,-155,4571,78
-8716,4052,-13292,5606,-2331,51,-13736,1760,-11128,-31,606,1453,4684,-17708,2828,-141,6428,-513
-9140,4588,-13288,4628,-1648,-2229,-12596,2460,-11412,2374,-380,2621,3024,-16468,3008,866,7283,-799
-9352,4384,-11736,1304,-453,-2791,-11944,2376,-12012,1506,-266,1638,928,-16992,3332,954,4161,424
-10560,4412,-12824,-1112,1350,-2853,-12240,2244,-13004,-328,-275,-515,-260,-17176,3412,1171,-2130,639
-10792,3968,-11816,-4089,3180,-3988,-10964,1772,-12728,-2808,-1349,-3001,448,-16820,3208,1336,-8553,1088
