-2444,2020,-14224,-13702,8345,3254,-11128,-640,-12864,10126,720,9713,8792,-13824,6432,14444,1742,67
-2560,7284,-17484,-13687,11101,3855,-11344,-336,-12072,13607,2619,12597,13468,-17020,8624,19607,2007,-3307
-4288,6364,-13488,-19790,4666,5833,-15228,-1980,-13844,18104,3968,15225,8324,-15304,13292,22085,7891,-6001
-5464,10580,-14872,-13174,536,8361,-17172,-520,-13940,23856,2759,18273,4596,-10472,13116,21718,8240,-10120
-6664,11332,-16064,-14205,-11744,5834,-16372,496,-15332,22080,5249,18400,-2208,-6192,15800,19617,12277,-13968
-6628,9416,-10188,-15455,-9784,9840,-13832,2264,-16476,10938,4747,11564,-1004,-2708,19028,19223,4414,-18292
13044,9520,4116,6692,4454,-1370,10672,-3728,-7636,-13106,-1577,6248,-1692,-17512,488,-3320,-1663,-1502
8292,7368,-992,17319,15627,1032,12036,-1940,-8628,-7072,-1565,9527,624,-17800,1168,142,-5365,-820
10892,9268,-20,20097,2664,-3313,12536,-1424,-9304,-8759,-4567,9788,884,-17224,1308,1387,-4487,-444
-380,-5604,-7676,31464,29880,-515,11796,-3092,-8552,-11146,-9937,5267,1388,-17376,1884,309,-3797,-1387
8992,12076,1388,30846,5643,-6105,11912,-6044,-7320,-347,-8582,3662,892,-17852,216,2109,45,-707
8168,15780,-8384,32767,10898,-11093,11444,-4900,-8188,1361,-6078,-103,-856,-18156,-608,3838,2516,802
9056,12236,-3888,21151,1665,-14294,9632,-4376,-7844,8279,-10886,-2706,-2792,-17456,-404,6727,204,3271
6020,11972,-8648,22906,3760,-12128,8884,-3980,-6496,8241,-11668,-8648,-3964,-16140,480,10077,-9902,6400
1620,11324,-8940,16765,7881,-18724,5636,-5452,-6320,7464,-13448,-13377,-6648,-15888,1884,13945,-20480,9853
-2560,7284,-17484,-13687,11101,3855,-11344,-336,-12072,13607,2619,12597,13468,-17020,8624,19607,2007,-3307
-4288,6364,-13488,-19790,4666,5833,-15228,-1980,-13844,18104,3968,15225,8324,-15304,13292,22085,7891,-6001
-5464,10580,-14872,-13174,536,8361,-17172,-520,-13940,23856,2759,18273,4596,-10472,13116,21718,8240,-10120
-6664,11332,-16064,-14205,-11744,5834,-16372,496,-15332,22080,5249,18400,-2208,-6192,15800,19617,12277,-13968
-6628,9416,-10188,-15455,-9784,9840,-13832,2264,-16476,10938,4747,11564,-1004,-2708,19028,19223,4414,-18292
-9920,11336,-9744,1324,-9091,11312,-12792,-808,-15036,8355,4834,10650,-2916,800,18520,12649,6538,-17812
-7476,15368,-10280,2629,-15549,8880,-9744,-84,-13668,11792,-927,17420,-492,-1088,22712,6302,3464,-16500
-5408,18712,-8832,3518,-15104,4639,-9720,-1540,-16984,8548,-5973,20718,2284,2412,22848,2645,3611,-17147
-7008,17600,-8744,3081,-17833,9985,-11916,-3780,-20864,3790,-5632,20779,384,2424,22580,-4003,4612,-19318
-8688,16628,-11512,3913,-18761,14464,-12948,-4796,-21364,4042,1658,20538,664,1836,18836,-7681,2293,-20738
-10268,14052,-11560,1578,-19040,18136,-11776,-2696,-17708,10745,4730,19144,3480,296,20188,-8154,3707,-21282
-10668,13732,-8340,-176,-16094,15086,-13012,-2088,-16312,11885,8850,17322,3724,-976,17816,-9868,6683,-21433
-11724,12288,-7968,-385,-16168,14576,-12764,-1028,-14972,9932,8471,15424,1784,-2224,16188,-10066,8255,-20772
-8504,12308,-7784,-76,-18126,17648,-11192,-1988,-13032,11469,9498,16364,3820,-5248,16988,-9585,6449,-21184
-6168,14036,-6956,-1391,-18691,15725,-10528,-2904,-14164,9355,9327,16045,7968,-8828,16204,-9131,9217,-23467
-4692,14824,-4944,-2924,-22812,15523,-10664,-5124,-17256,5771,7612,17186,5364,-15576,15488,-11842,16382,-23240
-3932,17052,-5580,35,-24548,15496,-7532,-7496,-15516,9689,6320,21784,3620,-14532,13204,-7826,14624,-22937
-2948,14684,-5256,-2161,-27066,16523,-5476,-4188,-14320,6420,6058,20357,4480,-13832,10868,-7897,15421,-22362
-2388,14788,-4252,-2509,-25741,15392,-6128,-6248,-12980,2340,6018,23177,4384,-14316,9308,-7887,16404,-21757
